primary_sentence,secondary_sentence,label
¿Cómo se si puedo volver a mi carrera?,¿Necesito actualizar mis datos socioeconómicos para volver a mi carrera?,0.92
¿Cómo se si puedo volver a mi carrera?,Quiero saber si necesito algo para volver a la universidad,0.88
¿Cómo se si puedo volver a mi carrera?,¿Debo actualizar mis datos socioeconómicos para regresar a mi carrera?,0.92
¿Cómo se si puedo volver a mi carrera?,¿Qué debo tener en cuenta para volver a mi carrera?,0.88
¿Cómo se si puedo volver a mi carrera?,Cosas a tener en cuenta para regresar a una carrera,0.88
¿Cómo se si puedo volver a mi carrera?,¿Para regresar a mi carrera necesito actualizar mis datos socioeconómicos?,0.92
¿Cómo se si puedo volver a mi carrera?,Quiero saber si podré volver a mi carrera,0.92
Tipos de Becas,¿Qué becas existen?,0.88
Tipos de Becas,¿Puedo postular para una beca?,0.92
Tipos de Becas,Quiero pedir una beca,0.92
Tipos de Becas,Necesito solicitar una beca,0.92
Tipos de Becas,¿Qué necesito para tener una beca?,0.88
Tipos de Becas,¿Cómo solicito una beca?,0.88
Tipos de Becas,Me gustaría tener una beca,0.88
Tipos de Becas,¿Quién puede pedir una beca?,0.88
Tipos de Becas,Necesito información sobre las becas,0.88
¿Cómo solicito una beca?,¿Qué becas existen?,0.92
¿Cómo solicito una beca?,¿Puedo postular para una beca?,0.92
¿Cómo solicito una beca?,Quiero pedir una beca,0.92
¿Cómo solicito una beca?,Necesito solicitar una beca,0.92
¿Cómo solicito una beca?,¿Qué necesito para tener una beca?,0.88
¿Cómo solicito una beca?,Me gustaría tener una beca,0.88
¿Cómo solicito una beca?,¿Quién puede pedir una beca?,0.88
¿Cómo solicito una beca?,Necesito información sobre las becas,0.88
Necesito información sobre las becas,¿Qué becas existen?,0.92
Necesito información sobre las becas,¿Puedo postular para una beca?,0.92
Necesito información sobre las becas,Quiero pedir una beca,0.92
Necesito información sobre las becas,Necesito solicitar una beca,0.92
Necesito información sobre las becas,¿Qué necesito para tener una beca?,0.88
Necesito información sobre las becas,Me gustaría tener una beca,0.88
Necesito información sobre las becas,¿Quién puede pedir una beca?,0.88
Becas al Mérito Cultural,¿Qué es una beca al mérito cultural?,0.92
Becas al Mérito Cultural,¿Quién puede pedir una beca al mérito cultural?,0.92
Becas al Mérito Cultural,Necesito una beca al mérito cultural,0.92
Becas al Mérito Cultural,¿Puedo pedir una beca al mérito cultural?,0.92
Becas al Mérito Cultural,¿Qué requisitos existen para una beca al mérito cultural?,0.92
Becas al Mérito Cultural,Procedimiento para una beca al mérito cultural,0.92
Becas al Mérito Cultural,Beneficios de una beca al mérito cultural,0.92
Becas al Mérito Cultural,¿Cómo solicito una beca al mérito cultural?,0.92
Becas al Mérito Cultural,¿Qué necesito para una beca al mérito cultural?,0.92
¿Puedo pedir una beca al mérito cultural?,¿Qué es una beca al mérito cultural?,0.92
¿Puedo pedir una beca al mérito cultural?,¿Quién puede pedir una beca al mérito cultural?,0.92
¿Puedo pedir una beca al mérito cultural?,Necesito una beca al mérito cultural,0.92
¿Puedo pedir una beca al mérito cultural?,¿Qué requisitos existen para una beca al mérito cultural?,0.92
¿Puedo pedir una beca al mérito cultural?,Procedimiento para una beca al mérito cultural,0.92
¿Puedo pedir una beca al mérito cultural?,Beneficios de una beca al mérito cultural,0.92
¿Puedo pedir una beca al mérito cultural?,¿Cómo solicito una beca al mérito cultural?,0.92
¿Puedo pedir una beca al mérito cultural?,¿Qué necesito para una beca al mérito cultural?,0.92
Procedimiento para una beca al mérito cultural,¿Qué es una beca al mérito cultural?,0.92
Procedimiento para una beca al mérito cultural,¿Quién puede pedir una beca al mérito cultural?,0.92
Procedimiento para una beca al mérito cultural,Necesito una beca al mérito cultural,0.92
Procedimiento para una beca al mérito cultural,¿Qué requisitos existen para una beca al mérito cultural?,0.92
Procedimiento para una beca al mérito cultural,Beneficios de una beca al mérito cultural,0.92
Procedimiento para una beca al mérito cultural,¿Cómo solicito una beca al mérito cultural?,0.92
Procedimiento para una beca al mérito cultural,¿Qué necesito para una beca al mérito cultural?,0.92
Becas por Excelencia Académica,¿Qué es una beca por excelencia académica?,0.88
Becas por Excelencia Académica,¿Quién puede pedir una beca por excelencia académica?,0.88
Becas por Excelencia Académica,Necesito una beca por excelencia académica,0.88
Becas por Excelencia Académica,¿Puedo pedir una beca por excelencia académica?,0.92
Becas por Excelencia Académica,¿Qué requisitos existen para una beca por excelencia académica?,0.92
Becas por Excelencia Académica,Procedimiento para una beca por excelencia académica,0.92
Becas por Excelencia Académica,Beneficios de una beca por excelencia académica,0.92
Becas por Excelencia Académica,¿Cómo solicito una beca por excelencia académica?,0.92
Becas por Excelencia Académica,¿Qué necesito para una beca por excelencia académica?,0.92
¿Puedo pedir una beca por excelencia académica?,¿Qué es una beca por excelencia académica?,0.92
¿Puedo pedir una beca por excelencia académica?,¿Quién puede pedir una beca por excelencia académica?,0.92
¿Puedo pedir una beca por excelencia académica?,Necesito una beca por excelencia académica,0.92
¿Puedo pedir una beca por excelencia académica?,¿Qué requisitos existen para una beca por excelencia académica?,0.92
¿Puedo pedir una beca por excelencia académica?,Procedimiento para una beca por excelencia académica,0.92
¿Puedo pedir una beca por excelencia académica?,Beneficios de una beca por excelencia académica,0.92
¿Puedo pedir una beca por excelencia académica?,¿Cómo solicito una beca por excelencia académica?,0.92
¿Puedo pedir una beca por excelencia académica?,¿Qué necesito para una beca por excelencia académica?,0.92
Procedimiento para una beca por excelencia académica,¿Qué es una beca por excelencia académica?,0.92
Procedimiento para una beca por excelencia académica,¿Quién puede pedir una beca por excelencia académica?,0.92
Procedimiento para una beca por excelencia académica,Necesito una beca por excelencia académica,0.92
Procedimiento para una beca por excelencia académica,¿Qué requisitos existen para una beca por excelencia académica?,0.92
Procedimiento para una beca por excelencia académica,Beneficios de una beca por excelencia académica,0.92
Procedimiento para una beca por excelencia académica,¿Cómo solicito una beca por excelencia académica?,0.92
Procedimiento para una beca por excelencia académica,¿Qué necesito para una beca por excelencia académica?,0.92
Becas por Vulnerabilidad por Situación Económica,¿Qué es una beca por vulnerabilidad económica?,0.88
Becas por Vulnerabilidad por Situación Económica,¿Quién puede pedir una beca por vulnerabilidad económica?,0.88
Becas por Vulnerabilidad por Situación Económica,Necesito una beca por vulnerabilidad económica,0.88
Becas por Vulnerabilidad por Situación Económica,¿Puedo pedir una beca por vulnerabilidad económica?,0.88
Becas por Vulnerabilidad por Situación Económica,¿Qué requisitos existen para una beca por vulnerabilidad económica?,0.88
Becas por Vulnerabilidad por Situación Económica,Procedimiento para una beca por vulnerabilidad económica,0.92
Becas por Vulnerabilidad por Situación Económica,Beneficios de una beca por vulnerabilidad económica,0.92
Becas por Vulnerabilidad por Situación Económica,¿Cómo solicito una beca por vulnerabilidad económica?,0.92
Becas por Vulnerabilidad por Situación Económica,¿Qué necesito para una beca por vulnerabilidad económica?,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,¿Qué es una beca por vulnerabilidad económica?,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,¿Quién puede pedir una beca por vulnerabilidad económica?,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,Necesito una beca por vulnerabilidad económica,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,¿Qué requisitos existen para una beca por vulnerabilidad económica?,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,Procedimiento para una beca por vulnerabilidad económica,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,Beneficios de una beca por vulnerabilidad económica,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,¿Cómo solicito una beca por vulnerabilidad económica?,0.92
¿Puedo pedir una beca por vulnerabilidad económica?,¿Qué necesito para una beca por vulnerabilidad económica?,0.92
Procedimiento para una beca por vulnerabilidad económica,¿Qué es una beca por vulnerabilidad económica?,0.92
Procedimiento para una beca por vulnerabilidad económica,¿Quién puede pedir una beca por vulnerabilidad económica?,0.92
Procedimiento para una beca por vulnerabilidad económica,Necesito una beca por vulnerabilidad económica,0.92
Procedimiento para una beca por vulnerabilidad económica,¿Qué requisitos existen para una beca por vulnerabilidad económica?,0.92
Procedimiento para una beca por vulnerabilidad económica,Beneficios de una beca por vulnerabilidad económica,0.92
Procedimiento para una beca por vulnerabilidad económica,¿Cómo solicito una beca por vulnerabilidad económica?,0.92
Procedimiento para una beca por vulnerabilidad económica,¿Qué necesito para una beca por vulnerabilidad económica?,0.92
Actualización de Datos Socioeconómicos,¿Cómo actualizo mis datos socioeconómicos?,0.88
Actualización de Datos Socioeconómicos,¿Puedo cambiar mi información socioeconómica?,0.88
Actualización de Datos Socioeconómicos,Quiero actualizar mis datos socioeconómicos,0.88
Actualización de Datos Socioeconómicos,Mi información socioeconómica es incorrecta,0.88
Actualización de Datos Socioeconómicos,Necesito cambiar mis datos socioeconómicos,0.88
Actualización de Datos Socioeconómicos,Me gustaría modificar mis datos socioeconómicos,0.88
Actualización de Datos Socioeconómicos,¿Qué necesito para actualizar mis datos socioeconómicos?,0.92
Actualización de Datos Socioeconómicos,¿Cómo puedo cambiar mis datos socioeconómicos?,0.92
Actualización de Datos Socioeconómicos,Quiero solicitar el cambio de mis datos socioeconómicos,0.92
Quiero actualizar mis datos socioeconómicos,¿Cómo actualizo mis datos socioeconómicos?,0.92
Quiero actualizar mis datos socioeconómicos,¿Puedo cambiar mi información socioeconómica?,0.88
Quiero actualizar mis datos socioeconómicos,Mi información socioeconómica es incorrecta,0.88
Quiero actualizar mis datos socioeconómicos,Necesito cambiar mis datos socioeconómicos,0.88
Quiero actualizar mis datos socioeconómicos,Me gustaría modificar mis datos socioeconómicos,0.88
Quiero actualizar mis datos socioeconómicos,¿Qué necesito para actualizar mis datos socioeconómicos?,0.92
Quiero actualizar mis datos socioeconómicos,¿Cómo puedo cambiar mis datos socioeconómicos?,0.92
Quiero actualizar mis datos socioeconómicos,Quiero solicitar el cambio de mis datos socioeconómicos,0.92
Mi información socioeconómica es incorrecta,¿Cómo actualizo mis datos socioeconómicos?,0.92
Mi información socioeconómica es incorrecta,¿Puedo cambiar mi información socioeconómica?,0.92
Mi información socioeconómica es incorrecta,Necesito cambiar mis datos socioeconómicos,0.92
Mi información socioeconómica es incorrecta,Me gustaría modificar mis datos socioeconómicos,0.92
Mi información socioeconómica es incorrecta,¿Qué necesito para actualizar mis datos socioeconómicos?,0.92
Mi información socioeconómica es incorrecta,¿Cómo puedo cambiar mis datos socioeconómicos?,0.92
Mi información socioeconómica es incorrecta,Quiero solicitar el cambio de mis datos socioeconómicos,0.92
Tipos de Matrículas,¿Qué tipos de matrículas existen?,0.92
Tipos de Matrículas,¿A qué matrículas puedo acceder?,0.92
Tipos de Matrículas,¿Que matrículas puedo solicitar?,0.92
Tipos de Matrículas,Quiero saber que matrículas existen,0.92
Tipos de Matrículas,Necesito una matrícula específica,0.92
Tipos de Matrículas,Me gustaría pedir una matrícula específica,0.92
Tipos de Matrículas,¿Aún existe la matrícula excepcional?,0.92
Tipos de Matrículas,Quiero una matrícula excepcional,0.92
Tipos de Matrículas,¿Puedo solicitar una matrícula excepcional?,0.92
Quiero saber que matrículas existen,¿Qué tipos de matrículas existen?,0.92
Quiero saber que matrículas existen,¿A qué matrículas puedo acceder?,0.92
Quiero saber que matrículas existen,¿Que matrículas puedo solicitar?,0.92
Quiero saber que matrículas existen,Necesito una matrícula específica,0.92
Quiero saber que matrículas existen,Me gustaría pedir una matrícula específica,0.92
Quiero saber que matrículas existen,¿Aún existe la matrícula excepcional?,0.92
Quiero saber que matrículas existen,Quiero una matrícula excepcional,0.92
Quiero saber que matrículas existen,¿Puedo solicitar una matrícula excepcional?,0.92
¿Que matrículas puedo solicitar?,¿Qué tipos de matrículas existen?,0.92
¿Que matrículas puedo solicitar?,¿A qué matrículas puedo acceder?,0.92
¿Que matrículas puedo solicitar?,Necesito una matrícula específica,0.92
¿Que matrículas puedo solicitar?,Me gustaría pedir una matrícula específica,0.92
¿Que matrículas puedo solicitar?,¿Aún existe la matrícula excepcional?,0.92
¿Que matrículas puedo solicitar?,Quiero una matrícula excepcional,0.92
¿Que matrículas puedo solicitar?,¿Puedo solicitar una matrícula excepcional?,0.92
Matrícula Ordinaria,¿Qué es una matrícula ordinaria?,0.88
Matrícula Ordinaria,¿Cuando se realizan las matrículas ordinarias?,0.88
Matrícula Ordinaria,¿En qué fechas inician las matrículas ordinarias?,0.88
Matrícula Ordinaria,Fechas de las actividades para matrículas ordinarias,0.88
Matrícula Ordinaria,No sé lo que es una matrícula ordinaria,0.88
Matrícula Ordinaria,Cuando inicia el periodo de matrículas ordinarias,0.88
Matrícula Ordinaria,¿Estoy dentro del plazo para pedir una matrícula ordinaria?,0.88
Matrícula Ordinaria,¿Estoy a tiempo de una matrícula ordinaria?,0.88
Matrícula Ordinaria,Calendario académico para matrículas ordinarias,0.92
¿En qué fechas inician las matrículas ordinarias?,¿Qué es una matrícula ordinaria?,0.88
¿En qué fechas inician las matrículas ordinarias?,¿Cuando se realizan las matrículas ordinarias?,0.88
¿En qué fechas inician las matrículas ordinarias?,Fechas de las actividades para matrículas ordinarias,0.88
¿En qué fechas inician las matrículas ordinarias?,No sé lo que es una matrícula ordinaria,0.88
¿En qué fechas inician las matrículas ordinarias?,Cuando inicia el periodo de matrículas ordinarias,0.88
¿En qué fechas inician las matrículas ordinarias?,¿Estoy dentro del plazo para pedir una matrícula ordinaria?,0.88
¿En qué fechas inician las matrículas ordinarias?,¿Estoy a tiempo de una matrícula ordinaria?,0.88
¿En qué fechas inician las matrículas ordinarias?,Calendario académico para matrículas ordinarias,0.92
Calendario académico para matrículas ordinarias,¿Qué es una matrícula ordinaria?,0.88
Calendario académico para matrículas ordinarias,¿Cuando se realizan las matrículas ordinarias?,0.88
Calendario académico para matrículas ordinarias,Fechas de las actividades para matrículas ordinarias,0.88
Calendario académico para matrículas ordinarias,No sé lo que es una matrícula ordinaria,0.88
Calendario académico para matrículas ordinarias,Cuando inicia el periodo de matrículas ordinarias,0.88
Calendario académico para matrículas ordinarias,¿Estoy dentro del plazo para pedir una matrícula ordinaria?,0.88
Calendario académico para matrículas ordinarias,¿Estoy a tiempo de una matrícula ordinaria?,0.88
Requisitos de una Matrícula Ordinaria,¿Cómo se accede a una matrícula ordinaria,0.88
Requisitos de una Matrícula Ordinaria,¿Qué requisitos necesito para matricularme?,0.92
Requisitos de una Matrícula Ordinaria,¿Debo hacer algo para poder matricularme?,0.88
Requisitos de una Matrícula Ordinaria,¿Que debo cumplir para la matrícula ordinaria?,0.88
Requisitos de una Matrícula Ordinaria,¿Debo hacer algo antes de matricularme?,0.88
Requisitos de una Matrícula Ordinaria,Quiero saber los requisitos para matricularme,0.92
Requisitos de una Matrícula Ordinaria,Pasos previos para una matrícula ordinaria,0.88
Requisitos de una Matrícula Ordinaria,Requisitos para una matrícula ordinaria,0.92
Requisitos de una Matrícula Ordinaria,¿Necesito algo para poder matricularme?,0.88
¿Qué requisitos necesito para matricularme?,¿Cómo se accede a una matrícula ordinaria,0.88
¿Qué requisitos necesito para matricularme?,¿Debo hacer algo para poder matricularme?,0.92
¿Qué requisitos necesito para matricularme?,¿Que debo cumplir para la matrícula ordinaria?,0.92
¿Qué requisitos necesito para matricularme?,¿Debo hacer algo antes de matricularme?,0.92
¿Qué requisitos necesito para matricularme?,Quiero saber los requisitos para matricularme,0.92
¿Qué requisitos necesito para matricularme?,Pasos previos para una matrícula ordinaria,0.88
¿Qué requisitos necesito para matricularme?,Requisitos para una matrícula ordinaria,0.92
¿Qué requisitos necesito para matricularme?,¿Necesito algo para poder matricularme?,0.92
Pasos previos para una matrícula ordinaria,¿Cómo se accede a una matrícula ordinaria,0.88
Pasos previos para una matrícula ordinaria,¿Debo hacer algo para poder matricularme?,0.92
Pasos previos para una matrícula ordinaria,¿Que debo cumplir para la matrícula ordinaria?,0.92
Pasos previos para una matrícula ordinaria,¿Debo hacer algo antes de matricularme?,0.92
Pasos previos para una matrícula ordinaria,Quiero saber los requisitos para matricularme,0.92
Pasos previos para una matrícula ordinaria,Requisitos para una matrícula ordinaria,0.88
Pasos previos para una matrícula ordinaria,¿Necesito algo para poder matricularme?,0.92
Procedimiento para una Matrícula Ordinaria,¿Cuál es el procedimiento de matrícula?,0.92
Procedimiento para una Matrícula Ordinaria,¿Cómo puedo matricularme?,0.92
Procedimiento para una Matrícula Ordinaria,¿Qué pasos debo seguir para matricularme?,0.92
Procedimiento para una Matrícula Ordinaria,Proceso para una matrícula ordinaria,0.92
Procedimiento para una Matrícula Ordinaria,No sé que hacer para matricularme,0.92
Procedimiento para una Matrícula Ordinaria,Quiero saber los pasos para matricularme,0.92
Procedimiento para una Matrícula Ordinaria,¿Qué se hace durante una matrícula ordinaria?,0.88
Procedimiento para una Matrícula Ordinaria,¿Qué pasa si no logré inscribirme en todas las materias?,0.88
Procedimiento para una Matrícula Ordinaria,No hay cupo en las materias,0.88
¿Qué pasos debo seguir para matricularme?,¿Cuál es el procedimiento de matrícula?,0.92
¿Qué pasos debo seguir para matricularme?,¿Cómo puedo matricularme?,0.92
¿Qué pasos debo seguir para matricularme?,Proceso para una matrícula ordinaria,0.92
¿Qué pasos debo seguir para matricularme?,No sé que hacer para matricularme,0.92
¿Qué pasos debo seguir para matricularme?,Quiero saber los pasos para matricularme,0.92
¿Qué pasos debo seguir para matricularme?,¿Qué se hace durante una matrícula ordinaria?,0.88
¿Qué pasos debo seguir para matricularme?,¿Qué pasa si no logré inscribirme en todas las materias?,0.88
¿Qué pasos debo seguir para matricularme?,No hay cupo en las materias,0.88
¿Qué se hace durante una matrícula ordinaria?,¿Cuál es el procedimiento de matrícula?,0.92
¿Qué se hace durante una matrícula ordinaria?,¿Cómo puedo matricularme?,0.92
¿Qué se hace durante una matrícula ordinaria?,Proceso para una matrícula ordinaria,0.92
¿Qué se hace durante una matrícula ordinaria?,No sé que hacer para matricularme,0.92
¿Qué se hace durante una matrícula ordinaria?,Quiero saber los pasos para matricularme,0.92
¿Qué se hace durante una matrícula ordinaria?,¿Qué pasa si no logré inscribirme en todas las materias?,0.88
¿Qué se hace durante una matrícula ordinaria?,No hay cupo en las materias,0.88
Matrícula Ordinaria Asistida,¿Qué es una matrícula asistida?,0.92
Matrícula Ordinaria Asistida,¿Cuando debo pedir una matrícula asistida?,0.92
Matrícula Ordinaria Asistida,Quiero una matrícula asistida,0.92
Matrícula Ordinaria Asistida,Necesito una matrícula asistida,0.92
Matrícula Ordinaria Asistida,No pude inscribirme en todas las asignaturas,0.88
Matrícula Ordinaria Asistida,No hubo cupo en todas mis asignaturas,0.88
Matrícula Ordinaria Asistida,¿Cómo solicito una matrícula asistida?,0.92
Matrícula Ordinaria Asistida,¿Cómo se realiza una matrícula asistida?,0.92
Matrícula Ordinaria Asistida,Me gustaría una matrícula asistida,0.92
Quiero una matrícula asistida,¿Qué es una matrícula asistida?,0.92
Quiero una matrícula asistida,¿Cuando debo pedir una matrícula asistida?,0.92
Quiero una matrícula asistida,Necesito una matrícula asistida,0.92
Quiero una matrícula asistida,No pude inscribirme en todas las asignaturas,0.92
Quiero una matrícula asistida,No hubo cupo en todas mis asignaturas,0.88
Quiero una matrícula asistida,¿Cómo solicito una matrícula asistida?,0.92
Quiero una matrícula asistida,¿Cómo se realiza una matrícula asistida?,0.92
Quiero una matrícula asistida,Me gustaría una matrícula asistida,0.92
No hubo cupo en todas mis asignaturas,¿Qué es una matrícula asistida?,0.88
No hubo cupo en todas mis asignaturas,¿Cuando debo pedir una matrícula asistida?,0.88
No hubo cupo en todas mis asignaturas,Necesito una matrícula asistida,0.92
No hubo cupo en todas mis asignaturas,No pude inscribirme en todas las asignaturas,0.92
No hubo cupo en todas mis asignaturas,¿Cómo solicito una matrícula asistida?,0.92
No hubo cupo en todas mis asignaturas,¿Cómo se realiza una matrícula asistida?,0.92
No hubo cupo en todas mis asignaturas,Me gustaría una matrícula asistida,0.92
Matrícula Extraordinaria,¿Puedo solicitar una matrícula extraordinaria?,0.92
Matrícula Extraordinaria,¿Cómo me inscribo durante matrículas extraordinarias?,0.92
Matrícula Extraordinaria,Necesito una matrícula extraordinaria,0.88
Matrícula Extraordinaria,No pude matricularme durante matriculas ordinarias,0.92
Matrícula Extraordinaria,¿Qué puedo hacer si no me matricule en matrículas ordinarias?,0.88
Matrícula Extraordinaria,¿Que debo hacer para pedir una matrícula extraordinaria?,0.92
Matrícula Extraordinaria,Quiero una matrícula extraordinaria,0.92
Matrícula Extraordinaria,Formulario para solicitar una matrícula extraordinaria,0.92
Matrícula Extraordinaria,¿Cómo puedo pedir una matrícula extraordinaria?,0.92
No pude matricularme durante matriculas ordinarias,¿Puedo solicitar una matrícula extraordinaria?,0.92
No pude matricularme durante matriculas ordinarias,¿Cómo me inscribo durante matrículas extraordinarias?,0.92
No pude matricularme durante matriculas ordinarias,Necesito una matrícula extraordinaria,0.92
No pude matricularme durante matriculas ordinarias,¿Qué puedo hacer si no me matricule en matrículas ordinarias?,0.95
No pude matricularme durante matriculas ordinarias,¿Que debo hacer para pedir una matrícula extraordinaria?,0.92
No pude matricularme durante matriculas ordinarias,Quiero una matrícula extraordinaria,0.88
No pude matricularme durante matriculas ordinarias,Formulario para solicitar una matrícula extraordinaria,0.86
No pude matricularme durante matriculas ordinarias,¿Cómo puedo pedir una matrícula extraordinaria?,0.95
¿Cómo puedo pedir una matrícula extraordinaria?,¿Puedo solicitar una matrícula extraordinaria?,0.88
¿Cómo puedo pedir una matrícula extraordinaria?,¿Cómo me inscribo durante matrículas extraordinarias?,0.82
¿Cómo puedo pedir una matrícula extraordinaria?,Necesito una matrícula extraordinaria,0.95
¿Cómo puedo pedir una matrícula extraordinaria?,¿Qué puedo hacer si no me matricule en matrículas ordinarias?,0.95
¿Cómo puedo pedir una matrícula extraordinaria?,¿Que debo hacer para pedir una matrícula extraordinaria?,0.92
¿Cómo puedo pedir una matrícula extraordinaria?,Quiero una matrícula extraordinaria,0.9
¿Cómo puedo pedir una matrícula extraordinaria?,Formulario para solicitar una matrícula extraordinaria,0.88
Matrícula Especial,¿Qué es una matrícula especial?,0.88
Matrícula Especial,¿Para que sirve una matrícula especial?,0.86
Matrícula Especial,¿Cuando se puede pedir una matrícula especial?,0.84
Matrícula Especial,¿Quién puede solicitar una matrícula especial?,0.82
Matrícula Especial,Necesito una matrícula especial,0.95
Matrícula Especial,Me gustaría solicitar una matrícula especial,0.9
Matrícula Especial,¿Cuando es posible solicitar una matrícula especial?,0.88
Matrícula Especial,¿En qué casos puedo pedir una matrícula especial?,0.86
Matrícula Especial,Creo que necesito pedir una matrícula especial,0.92
¿Para que sirve una matrícula especial?,¿Qué es una matrícula especial?,0.95
¿Para que sirve una matrícula especial?,¿Cuando se puede pedir una matrícula especial?,0.88
¿Para que sirve una matrícula especial?,¿Quién puede solicitar una matrícula especial?,0.86
¿Para que sirve una matrícula especial?,Necesito una matrícula especial,0.92
¿Para que sirve una matrícula especial?,Me gustaría solicitar una matrícula especial,0.88
¿Para que sirve una matrícula especial?,¿Cuando es posible solicitar una matrícula especial?,0.9
¿Para que sirve una matrícula especial?,¿En qué casos puedo pedir una matrícula especial?,0.92
¿Para que sirve una matrícula especial?,Creo que necesito pedir una matrícula especial,0.8
¿En qué casos puedo pedir una matrícula especial?,¿Qué es una matrícula especial?,0.86
¿En qué casos puedo pedir una matrícula especial?,¿Cuando se puede pedir una matrícula especial?,0.84
¿En qué casos puedo pedir una matrícula especial?,¿Quién puede solicitar una matrícula especial?,0.92
